1702	104
1706	101
1710	85
1714	107
1718	98
1722	107
1726	112
1730	96
1734	112
1738	85
1742	91
1746	85
1750	88
1754	88
1758	99
1762	100
1766	97
1770	90
1774	106
1778	106
1782	96
1786	102
1790	97
1794	97
1798	96
1802	105
1806	101
1810	88
1814	83
1818	66
1822	65
1826	54
1830	64
1834	96
1838	69
1842	71
1846	94
1850	85
1854	71
1858	67
1862	77
1866	84
1870	78
1874	92
1878	95
1882	96
1886	85
1890	114
1894	104
1898	104
1902	100
1906	88
1910	83
1914	84
1918	100
1922	99
1926	100
1930	104
1934	99
1938	75
1942	100
1946	88
1950	89
1954	93
1958	108
1962	90
1966	106
1970	98
1974	99
1978	77
1982	77
1986	81
1990	83
1994	74
1998	85
2002	70
2006	83
2010	77
2014	86
2018	98
2022	75
2026	96
2030	110
2034	88
2038	95
2042	91
2046	114
2050	95
2054	80
2058	91
2062	92
2066	77
2070	84
2074	89
2078	85
2082	76
2086	78
2090	81
2094	75
2098	75
2102	88
2106	95
2110	106
2114	91
2118	82
2122	75
2126	105
2130	93
2134	86
2138	102
2142	99
2146	90
