1702	48
1706	40
1710	48
1714	36
1718	36
1722	37
1726	53
1730	56
1734	41
1738	44
1742	38
1746	41
1750	34
1754	41
1758	31
1762	41
1766	44
1770	45
1774	44
1778	36
1782	44
1786	44
1790	48
1794	33
1798	42
1802	48
1806	45
1810	44
1814	36
1818	0
1822	0
1826	0
1830	0
1834	41
1838	0
1842	0
1846	43
1850	32
1854	0
1858	0
1862	0
1866	0
1870	0
1874	38
1878	41
1882	36
1886	29
1890	58
1894	33
1898	41
1902	39
1906	47
1910	45
1914	42
1918	39
1922	34
1926	39
1930	37
1934	0
1938	63
1942	35
1946	34
1950	41
1954	34
1958	36
1962	43
1966	61
1970	44
1974	35
1978	0
1982	0
1986	0
1990	0
1994	0
1998	0
2002	0
2006	41
2010	41
2014	40
2018	32
2022	39
2026	31
2030	36
2034	34
2038	43
2042	38
2046	36
2050	39
2054	47
2058	44
2062	51
2066	33
2070	41
2074	43
2078	50
2082	46
2086	40
2090	0
2094	0
2098	0
2102	0
2106	0
2110	34
2114	31
2118	0
2122	0
2126	47
2130	46
2134	0
2138	40
2142	50
2146	52
