2	47
6	47
10	43
14	45
18	52
22	42
26	46
30	55
34	47
38	47
42	46
46	47
50	50
54	45
58	46
62	44
66	43
70	47
74	47
78	45
82	49
86	42
90	43
94	50
98	49
102	43
106	49
110	49
114	46
118	51
122	50
126	42
130	46
134	46
138	42
142	42
146	52
150	44
154	48
158	54
162	44
166	46
170	49
174	46
178	43
182	55
186	48
190	44
194	50
198	50
202	48
206	46
210	48
214	46
218	47
222	44
226	45
230	46
234	49
238	46
242	47
246	51
250	43
254	48
258	43
262	42
266	40
270	52
274	43
278	45
282	48
286	46
290	45
294	44
298	50
302	45
306	48
310	49
314	45
318	49
322	47
326	49
330	47
334	48
338	47
342	46
346	44
350	48
354	42
358	48
362	44
366	45
370	47
374	54
378	54
382	45
386	43
390	47
394	48
398	56
402	49
406	44
410	45
414	47
418	41
422	46
426	50
430	43
434	45
438	45
442	46
446	48
450	45
454	52
458	45
462	43
466	52
470	51
474	44
478	48
482	62
486	46
490	54
494	51
498	47
502	49
506	44
510	50
514	44
518	53
522	61
526	51
530	57
534	52
538	54
542	41
546	53
550	51
554	48
558	55
562	47
566	47
570	45
574	57
578	49
582	55
586	49
590	56
594	47
598	50
