2	18
6	12
10	20
14	14
18	15
22	13
26	17
30	13
34	14
38	19
42	15
46	13
50	15
54	22
58	17
62	13
66	17
70	13
74	16
78	15
82	17
86	17
90	13
94	18
98	15
102	15
106	13
110	15
114	17
118	20
122	12
126	14
130	19
134	21
138	12
142	17
146	19
150	15
154	15
158	20
162	19
166	16
170	12
174	22
178	14
182	17
186	14
190	15
194	14
198	13
202	19
206	13
210	20
214	19
218	16
222	23
226	14
230	17
234	16
238	13
242	13
246	15
250	14
254	17
258	13
262	17
266	13
270	20
274	21
278	17
282	17
286	17
290	22
294	18
298	17
302	14
306	25
310	19
314	14
318	16
322	14
326	19
330	23
334	18
338	17
342	26
346	21
350	19
354	17
358	21
362	18
366	20
370	16
374	14
378	18
382	26
386	20
390	25
394	23
398	13
402	15
406	20
410	18
414	20
418	22
422	18
426	13
430	18
434	13
438	14
442	18
446	16
450	14
454	19
458	15
462	19
466	16
470	19
474	18
478	17
482	18
486	26
490	17
494	14
498	15
502	13
506	23
510	20
514	22
518	21
522	25
526	14
530	18
534	16
538	18
542	21
546	20
550	18
554	14
558	20
562	17
566	32
570	21
574	21
578	16
582	24
586	20
590	23
594	21
598	20
